sample,super_pop,PC1,PC2,afr_score
HG02537,AFR,31.407029170773022,-4.829204108611106,1.0
HG02541,AFR,29.77370772710142,-2.8281094692957356,1.0
HG02545,AFR,29.537036932478,-4.290053605754284,1.0
HG02546,AFR,31.849630994522606,-2.7765970088746013,1.0
HG02549,AFR,31.135784520264853,-3.853893784603635,1.0
HG02554,AFR,28.020622937470648,-0.13407141096713407,0.9814592328407552
HG02555,AFR,24.748053101493085,-0.7069408009705034,0.9113006314902361
HG02557,AFR,29.98363876606939,-3.429541039202165,1.0
HG02558,AFR,23.745511448052167,1.2563434471626118,0.870184197810789
HG02561,AFR,29.22361599982832,-2.0406309633606092,1.0
HG02562,AFR,26.113742632994825,0.3954881745074877,0.9274309356760432
HG02568,AFR,25.970410037560455,0.3458318966912877,0.9189635705104034
HG02570,AFR,27.325550918544472,-1.652074107466737,0.9764512841407591
HG02571,AFR,28.965681186714495,-2.0818102228247586,1.0
HG02573,AFR,29.437637829965283,-2.8347185979980347,1.0
HG02574,AFR,29.41915637819189,1.8534027660736752,0.9876805846260505
HG02577,AFR,31.06448945319234,-2.5131151464059287,1.0
HG02580,AFR,26.004259328629104,-3.1975685577131348,0.9675817857134222
HG02582,AFR,28.35917615183053,-1.5230102242066648,1.0
HG02583,AFR,33.214901914601086,-4.428651128744074,1.0
HG02585,AFR,31.19401024451059,-4.300066192772486,1.0
HG02586,AFR,29.258653943918024,-3.8058843079318514,1.0
HG02588,AFR,30.6764163522352,-1.4124178464505206,1.0
HG02589,AFR,24.199617408318513,-2.2407358066446883,0.9068691210573891
HG02594,AFR,25.561706775902728,-0.389569589949402,0.9258060826613279
HG02595,AFR,24.53814591404396,-0.1561400264624536,0.9042878820953104
HG02597,SAS,-9.089611589842946,5.611935247391404,0.09323587797816285
HG02600,SAS,-8.185137572549564,6.013860760281872,0.1277709238373213
HG02601,SAS,-7.727083871935457,2.4504933786704544,0.16561962404947128
HG02603,SAS,-8.114393747969237,5.5114598168135345,0.1361906457305224
HG02604,SAS,-9.341408069698842,6.305567730060985,0.08531765959494639
HG02610,AFR,33.27614095606351,-0.30026855938303504,1.0
HG02611,AFR,31.828109696699485,-1.306968063476273,1.0
HG02613,AFR,25.95120372717328,-2.329142189212443,0.9520778327689884
HG02614,AFR,22.450040260482087,1.2261228740391346,0.8276957213916202
HG02620,AFR,25.992743563042733,-3.1953113697634374,0.9551322884891225
HG02621,AFR,29.01119205660946,-2.8277829863408788,1.0
HG02623,AFR,31.951607420795906,-5.878273652351025,1.0
HG02624,AFR,29.563537068208916,-0.7622060666143607,1.0
HG02628,AFR,35.510626835146546,-4.34527324508678,1.0
HG02629,AFR,29.481800611391233,-0.06935754844911923,1.0
HG02634,AFR,29.382398596965217,-0.40375170446711134,1.0
HG02635,AFR,30.317322960458704,-2.382488445210352,1.0
HG02642,AFR,30.052959937442058,0.019152812000094104,1.0
HG02643,AFR,33.327990279163494,-1.4349034011515542,1.0
HG02645,AFR,28.513330567675997,0.3082069958433648,0.9859262326671426
HG02646,AFR,31.78033056990848,-2.4045950968434484,1.0
HG02648,SAS,-7.863303035065217,7.194516345782724,0.10634315078375985
HG02649,SAS,-7.768611185229422,8.521895985414593,0.09760560535176924
HG02651,SAS,-8.297141503079986,9.596488893441395,0.09273969372098043
HG02652,SAS,-7.626166751604272,6.796867525746036,0.13430628159315122
HG02654,SAS,-7.1464104128446815,8.568536753321316,0.1044776946017886
HG02655,SAS,-11.779910675401558,7.262133541003407,0.022902929409287405
HG02657,SAS,-8.002398091234568,6.773702146254454,0.0990809845136596
HG02658,SAS,-9.957974235847296,4.128832493953584,0.10093073622256256
HG02660,SAS,-13.563960554520511,4.88123080416144,0.01624575195686695
HG02661,SAS,-7.10443239180784,4.50224567347368,0.15149044005616694
HG02666,AFR,29.22773580275637,-3.92930412516466,1.0
HG02667,AFR,31.13724705445067,-0.30979072030012245,1.0
HG02675,AFR,31.773696959013055,-0.3334544318853649,1.0
HG02676,AFR,33.77296224755278,-5.415847575684324,1.0
HG02678,AFR,29.902222225233462,-0.7370338763405019,1.0
HG02679,AFR,26.73007707531836,-1.0678107775080756,0.9553523516791581
HG02681,SAS,-7.079534167321193,5.675623646201475,0.1315282302816606
HG02682,SAS,-6.833620993866356,7.886069837844499,0.1274096996157369
HG02684,SAS,-7.485911175180232,9.973613115993903,0.10215259603450476
HG02685,SAS,-11.301377338894163,4.6794582838053875,0.07383465685412706
HG02687,SAS,-8.394217924742321,4.432275200730439,0.12937051031717509
HG02688,SAS,-10.353089557861718,1.3446761029495973,0.1074569901184564
HG02690,SAS,-6.573512949030795,8.517562388295756,0.12567756613677022
HG02691,SAS,-9.79225528465697,5.7475007103298115,0.074932077735403
